question,topic,crop,agro_zone,document_id,reference_answer,QuestionId
Why is brucellosis more common among nomadic pastoralists and their livestock?,crop_diseases,livestock,semi_arid,doc_dis_126,Because the seroprevalence among nomadic pastoralists and their livestock is over ten times higher than among non-pastoralist farmers and their livestock in Kenya.,394
What are researchers studying to help improve food security in agroforestry parklands?,general,general,semi_arid,doc_gen_148,"They are examining how agricultural landscape diversity-especially tree cover-affects food availability and access, using millet yield as a proxy for food security.",395
"How can I use new soil, water, and agronomy technologies to improve my crop yield?",climate_adaptation,general,semi_arid,doc_cli_113,"Adopting the innovative soil, water, and agronomy technologies developed by ICARDA will help increase yields and farmer incomes.",396
How does the timing of planting beans affect the yield of the crop?,general,beans,sub_humid,doc_gen_149,"Planting time can significantly influence bean grain productivity, so choosing the right sowing period helps achieve better yields.",397
What climate hazards are affecting smallholder farmers in Kenya?,climate_adaptation,general,semi_arid,doc_cli_114,"Smallholder farmers in Kenya face droughts, floods, and high temperatures.",398
How can I confirm if the grass on my farm is Guinea grass so I can decide if it needs controlling?,livestock,general,sub_humid,doc_liv_090,"Look for the native African grass species from the Poaceae family known as Guinea grass, especially if it has been introduced elsewhere; proper taxonomic identification is required, so consult a local extension service or a professional to verify its identity.",399
How many does should I keep in the community-based breeding program (CBBP) nucleus for optimal genetic gain?,climate_adaptation,livestock,highland,doc_cli_115,The study recommends 577 does in the CBBP nucleus.,400
How much rainfall can I expect in the highlands during the rainy season?,climate_adaptation,general,highland,doc_cli_116,"In the highlands, the mean annual rainfall can reach up to 3,000 mm.",401
What are the main challenges that make it hard to get improved seed varieties?,livestock,general,sub_humid,doc_liv_091,Poor understanding of seed systems and gaps in access to agricultural inputs.,402
Can I replace maize with locally grown sorghum in broiler feed?,livestock,general,semi_arid,doc_liv_092,"Yes, studies show that diets using locally produced, non-tannin sorghum can be used in place of maize for broiler chickens.",403
How was water deficit detected in the Prakasam district during the study?,climate_adaptation,general,semi_arid,doc_cli_117,By combining Standard Precipitation Index (SPI) and Normalized Difference Vegetation Index (NDVI) indicators.,404
What tick species is responsible for spreading Babesia bovis to cattle in my area?,crop_diseases,livestock,semi_arid,doc_dis_132,"The tick vector is Rhipicephalus microplus, which transmits Babesia bovis to cattle.",405
How does having secure land tenure affect my farming productivity?,climate_adaptation,general,semi_arid,doc_cli_118,Tenure security is linked to agricultural land reforms and food production.,406
How can insurance help me adopt climate-resilient farming practices?,climate_adaptation,general,semi_arid,doc_cli_119,Insurance can be bundled with credit into products that promote and support the uptake and intensification of climate-resilient agricultural practices.,407
What is Integrated Soil Fertility Management (ISFM) and how can it help my maize farm?,fertiliser,maize,sub_humid,doc_fer_057,"ISFM combines organic residues with mineral fertilizers to improve soil fertility, reduce input limits, and close yield gaps, boosting productivity and sustaining soil health.",408
What was the main goal of the BRAS-PAR project?,climate_adaptation,livestock,semi_arid,doc_cli_120,"The BRAS-PAR project aimed to develop up-scalable, climate-smart agriculture innovations that integrate tree, crop, and livestock systems, improving farmer perceptions, adoption barriers, and gender and social differentiation.",409
What proportion of Kenya's livestock is found in the dryland areas?,livestock,general,semi_arid,doc_liv_094,About 60% of the nation's livestock is located in Kenya's drylands.,410
Which resistance gene is most durable against soybean rust?,crop_diseases,general,highland,doc_dis_134,Rpp2 is the most durable gene; 96% of tested isolates caused only light reddish-brown lesions on it.,411
How can I get legal advice about my land rights from my phone?,livestock,general,sub_humid,doc_liv_095,Send a text to the Lawyers 4 Farmers SMS service; it replies in your local language for less than €1.,412
"What is the risk of chlamydia in goats at the wildlife interface areas in south-eastern lowveld, Zimbabwe?",livestock,livestock,semi_arid,doc_liv_097,"About 22% of goats tested had chlamydia antibodies; goats at porous interfaces are ~3× more likely, and those at non-porous interfaces ~6× more likely to be infected.",413
Does planting shade trees help lower coffee berry disease in my sub-humid farm?,crop_diseases,general,sub_humid,doc_dis_138,The study found that shade did not consistently reduce disease and sometimes increased its incidence.,414
How much of Eswatini's agricultural GDP is invested in agricultural research?,livestock,general,sub_humid,doc_liv_098,Eswatini invests 0.70 percent of its agricultural GDP in research.,415
How can I use motorcycle taxis to transport my farm produce in rural Kenya?,general,general,sub_humid,doc_gen_156,"Motorcycle taxis are popular and important for rural travel in Kenya, so you can use them to move produce, but be aware that the sector still needs improvements in management.",416
How can I locate the temporary ponds that breed the mosquitoes responsible for Rift Valley Fever in my area?,crop_diseases,general,semi_arid,doc_dis_140,Use a 2.4 m resolution Quickbird satellite image and apply object-based image-processing techniques to detect and characterize temporary ponds.,417
How can nature-based solutions help improve my livestock herding practices?,climate_adaptation,livestock,semi_arid,doc_cli_125,"They combat land degradation and support climate adaptation, making livestock herding more sustainable for rural communities.",418
What are the main reasons for the decline in soil fertility in semi-arid southern Africa?,livestock,livestock,semi_arid,doc_liv_099,"Soil fertility is declining because traditional fallow periods have been shortened by population pressure, traditional systems are breaking down, and government support for mineral fertilizer (subsidies, distribution) has collapsed.",419
What is the threat magnitude level for climate change affecting Acacia senegal in Burkina Faso?,climate_adaptation,general,semi_arid,doc_cli_126,The excerpt does not specify the exact threat magnitude level for climate change on Acacia senegal; it only lists the threat categories and the scale used.,420
What maize-to-cowpea or groundnut ratios work best for strip-cropping in my northern Ghana farm?,fertiliser,general,sub_humid,doc_fer_060,Use a 2:2 or 2:4 ratio of maize to cowpea or groundnut for improved productivity.,421
What makes the STICS model suitable for studying the effect of organic matter residues on sugarcane growth?,general,general,semi_arid,doc_gen_160,STICS is calibrated for sugarcane and is designed to assess species associations and the agrosystem's response to organic matter residue supply.,422
By what percentage did cereal production increase in 1998 compared to 1997?,climate_adaptation,general,semi_arid,doc_cli_127,It was 31% higher than in 1997.,423
Where can I grow irrigated rice in Senegal?,water_management,general,semi_arid,doc_wat_037,In the Senegal River valley in the North/East.,424
Will sorghum be well accepted in markets if it is prepared in a culturally sensitive way?,general,sorghum,semi_arid,doc_gen_165,"Yes, when prepared in culturally sensitive ways, Smart Foods made of sorghum excite consumers and are significantly more nutritious.",425
How much can I expect my wheat yield to increase if I use this decision support tool?,climate_adaptation,general,highland,doc_cli_129,Using the tool can raise wheat yields by about 14 % to 20 %.,426
What is the Arid Lands Information Network (ALIN) and who does it mainly serve?,general,general,semi_arid,doc_gen_166,"ALIN is a British NGO based in Dakar, Senegal, that supports field workers, project managers, group leaders, and local government officials.",427
Does this insurance-linked credit model require farmers to pay an insurance premium before borrowing?,climate_adaptation,general,semi_arid,doc_cli_130,"Yes, borrowers pay an insurance premium that transfers drought risk to the lender, enabling the insurer to repay the loan if a drought occurs.",428
What can small farmers do if the government is unable to provide needed public goods and services?,general,general,sub_humid,doc_gen_167,"They can try local informal initiatives that provide services, though these may have limitations and sometimes face opposition from the state.",429
How can I better prepare my farm for droughts in this region?,climate_adaptation,general,semi_arid,doc_cli_131,"Build preparedness by planning proactive responses, not just reacting. Improve early-warning systems to include drought forecasting so you can act before a crisis hits.",430
Can we produce our own budded rubber planting material on our smallholdings?,general,general,sub_humid,doc_gen_169,"Yes, the study suggests that Cameroonian smallholders could produce their own budded planting material, which would improve future productivity and incomes.",431
How have recent changes in river basin management affected farmers and the local environment?,general,general,sub_humid,doc_gen_170,Recent changes in both basins are still continuing and are analysed in terms of outcomes for the people in the basins and for ecosystems.,432
Which part of my farm's activities is the biggest contributor to greenhouse gas emissions in Kenya's food system?,climate_adaptation,general,highland,doc_cli_132,"Enteric fermentation from livestock is the largest source, responsible for about 56 % of total food-system emissions.",433
What is the difference in pay between local and international aid workers in Malawi compared to Uganda?,general,general,sub_humid,doc_gen_173,"In Malawi, local workers earn about one quarter of international workers' wages (ratio 4.04:1), whereas in Uganda the gap is smaller, about 1.97:1.",434
How is Ethiopia's agricultural extension programme being used to promote both economic growth and political goals?,general,general,highland,doc_gen_174,"It is the largest and fastest-growing in Africa, heavily funded to boost smallholder productivity while also helping the government expand its reach and win elections, though the dual focus can lower the returns on the investment.",435
Does living near forests help women in my community eat more varied foods and reduce anemia?,general,general,sub_humid,doc_gen_175,"Yes, women in forest-based villages had higher dietary diversity and better diet quality, which is linked to lower anemia rates.",436
How can I increase my potato yield in a semi-arid area?,crop_diseases,general,semi_arid,doc_dis_150,"Use newly selected late blight-resistant clones, which have raised yields by over 100 % and are expected to boost yield by another >40 % by 2022.",437
What is the range of the percentage of children who are under-weight in the countries studied?,general,general,sub_humid,doc_gen_177,The percentage of under-weight children varied from 16 % in Zimbabwe to 36 % in Nigeria.,438
How can I reduce enteric methane emissions from my adult cattle in Yabello?,livestock,livestock,highland,doc_liv_103,"Use lower-weight cattle, avoid draught work, and feed them highly digestible rations (≈65% DE) to achieve lower methane emission factors.",439
How can I help control brucellosis in my cattle?,crop_diseases,livestock,semi_arid,doc_dis_152,"Since long-term government commitment and reliable data are missing, the best you can do is support local sampling and reporting efforts that feed into national risk maps, helping shape future control plans.",440
"How did banana prices change in June compared to May, and how does this compare to previous years?",general,general,sub_humid,doc_gen_178,"Banana prices dropped sharply in June compared to May, but the June price remained similar to 2004 and much higher than 2002 and 2003 levels.",441
How does South Africa's investment in agricultural research compare to other African countries?,livestock,general,sub_humid,doc_liv_104,"In 2014 South Africa ranked second in the region for agricultural research investment, after Nigeria, and its spending was 2.78 % of AgGDP, unusually high by African standards.",442
Are warthogs a source of African swine fever for my pigs in Senegal?,crop_diseases,livestock,semi_arid,doc_dis_155,"The study found all tested warthog sera negative for ASF antibodies, indicating warthogs may not be a source of the virus in this area.",443
Who are the key stakeholders involved in forest management in the Congo-Nile Ridge landscape in Rwanda?,general,general,sub_humid,doc_gen_179,"The key stakeholders are the central government (Rwanda Forestry Authority), local district-level governments, local communities, and other forest actors and projects identified during stakeholder consultations.",444
How can I better document the uses of the plants I have around my farm in a way that reflects my community's knowledge?,general,general,semi_arid,doc_gen_180,"Use an unmodified use-value method that records uses within and across eight categories, but remember it may miss some local uses and true knowledge.",445
What does the new methodology measure in postharvest loss studies?,post_harvest,general,sub_humid,doc_pos_023,"It measures the nature and quantity of postharvest losses, both physical and economic, across the value chain.",446
How much can I increase my sorghum grain yield by using the fertilization strategies tested in the study?,fertiliser,general,semi_arid,doc_fer_066,"Grain yield increased by 8-40 % in Koutiala, 11-53 % in Bougouni, and 44-110 % in Bamako with the fertilization treatments.",447
How can I use the Stepwise Climate Smart Investment Pathway to improve my coffee farm?,climate_adaptation,general,sub_humid,doc_cli_135,"Use it to break recommended practices into smaller, affordable packages that you can implement in phases, tailored to your agro-ecological conditions and personal needs.",448
How many interpersonal communication (IPC) contacts are needed to improve infant and young child feeding practices?,general,general,highland,doc_gen_183,"The study examined how the number of IPC contacts is associated with IYCF practices, but it does not specify an exact number needed.",449
Why do so many fresh foods in Nigeria spoil before I can sell them?,post_harvest,general,sub_humid,doc_pos_024,"Because 45% of fresh food spoils due to lack of cold storage, and power grids can't reliably deliver energy, making refrigeration nearly non-existent on many farms.",450
How much nitrogen fertilizer was applied to the groundnut seedlings?,fertiliser,groundnuts,sub_humid,doc_fer_067,20 kg of urea per hectare was applied to seedlings that were not inoculated.,451
How were thrips collected for the study?,crop_diseases,general,semi_arid,doc_dis_156,Thrips were collected by carefully cutting off flowering stems.,452
How have government policies affected land use changes in highland areas?,general,general,highland,doc_gen_185,"Government policies concerned with economic development and natural resource control have been especially important, driving conversion of areas into agricultural land and settlements.",453
What is the chance that a single pork meal I buy in western Kenya contains a cyst that could infect me?,crop_diseases,livestock,sub_humid,doc_dis_157,"The study found that a pork meal in western Kenya has a risk of about 1 in 1,000 (0.1%) of containing an infective T. solium cyst.",454
What information does the study provide about water management interventions in the Ethiopian Highlands?,climate_adaptation,general,highland,doc_cli_137,"It is a case study developed for the FAO SOFA report on scaling-up agriculture water management interventions, highlighting status, issues and opportunities.",455
"What are the main challenges that make it hard to do joint planning, monitoring, and evaluation for nutrition-sensitive agriculture?",general,general,highland,doc_gen_187,"Contextual barriers often hinder the involvement of different sectors needed for joint planning, monitoring, and evaluation of nutrition-sensitive agriculture.",456
Is there any ICT training available for farmers in my area?,general,general,sub_humid,doc_gen_015,"Yes, the Owerri Digital Village is providing ICT training for disadvantaged youth in eastern Nigeria.",457
What studies are looking at how farmers adopt improved maize varieties?,climate_adaptation,general,sub_humid,doc_cli_045,"Project P2053 conducted a survey on adoption of improved maize in Ghana, and Project P1037 used DNA fingerprinting to assess adoption of improved maize varieties.",458
What was the main focus of the stakeholder meeting held on 14th June 2011 in Kampala?,livestock,general,sub_humid,doc_liv_056,The meeting reviewed the status of smallholder pig value chain development in Uganda and discussed new initiatives by CGIAR partners.,459
Why is iron important for my children's health?,crop_diseases,general,highland,doc_dis_094,"Iron is a key component of haemoglobin, so iron deficiency causes anaemia, leading to poorer cognition, school performance, and more behavioral issues in children.",460
When and where did the new FCM Initiative have its launch events?,general,general,sub_humid,doc_gen_122,"The initiative started in April, with launch events on May 11 in Abuja, Nigeria, and on May 24 in Amman, Jordan.",461
How can I use Aflasafe to keep aflatoxins out of my maize or groundnut crops?,water_management,general,sub_humid,doc_wat_031,Aflasafe MWMZ01 and MW02 are ready for use in Malawi; follow the approved application guidelines to protect your crops from aflatoxin.,462
What does the study say about women's involvement in community groups compared to men's?,general,general,semi_arid,doc_gen_128,"Women in Mali are often highly organized within community groups, but the excerpt does not give more details.",463
What has Ethiopia done in the last thirty years to improve crop productivity?,fertiliser,general,semi_arid,doc_fer_048,Ethiopia has focused on modern input intensification to boost agricultural productivity and stimulate overall economic growth.,464
How many cassava clones were tested in the yield trial in Ibadan?,crop_diseases,cassava,sub_humid,doc_dis_114,Sixteen (16) clones were assessed.,465
What topics were covered in the training for trainers on community-based breeding programmes for small ruminants in Uganda?,livestock,livestock,"highland, semi_arid",doc_liv_076,"The training covered improved health and feeding, reproductive management, genetic improvement, and marketing.",466
How do different agricultural products affect Kenya's water usage and greenhouse gas emissions?,livestock,general,sub_humid,doc_liv_079,"The excerpt lists ""How are different agricultural products contributing to Kenya's water footprint and greenhouse gas emissions?"" but does not provide specific details.",467
Which cassava varieties were assessed for CBSD in the study mentioned in the excerpt?,crop_diseases,cassava,sub_humid,doc_dis_119,The study assessed a mapping population of 215 cassava varieties from the 2016 mapping population in Ibadan during the 2018/19 breeding season.,468
How can I control the freshwater snails that spread schistosomiasis around my farm?,livestock,livestock,semi_arid,doc_liv_083,"Focus on reducing snail populations in water bodies, as higher snail abundance and density are linked to increased schistosomiasis reinfection in nearby people.",469
Why is sorghum a good crop for semi-arid lands?,fertiliser,general,semi_arid,doc_fer_055,"Sorghum is drought tolerant, resistant to waterlogging, and yields are better in infertile soils than other crops, making it suitable for semi-arid areas.",470
What is the name of the new iron bean variety released for farmers?,general,beans,sub_humid,doc_gen_151,The new iron bean variety is called NUA 99.,471
How much of Lesotho's agricultural GDP is currently allocated to agricultural research?,water_management,general,semi_arid,doc_wat_036,Lesotho invests 0.94 percent of its AgGDP in agricultural research.,472
Which banana cultivar gives the best yield for highland livestock feed?,fertiliser,livestock,"highland, sub_humid",doc_fer_056,The exotic cultivar 'NARIAT 27' generally outperformed other local and introduced varieties across agro-ecologies.,473
Are workplace HIV treatment programmes effective for my workers?,general,general,semi_arid,doc_gen_158,"They are not as effective as expected, and many employees default from treatment programmes.",474
Does cutting down trees around my farm affect the fish in nearby creeks?,general,general,sub_humid,doc_gen_176,"Yes, deforestation and forest fragmentation near the Atewa Forest Reserve can degrade habitat and threaten fish species such as Limbochromis robertsi.",475
What does the abbreviation ZNIEFF stand for?,general,general,sub_humid,doc_gen_182,"ZNIEFF stands for Natural Zones of Ecological, Faunistic and Floristic Interest.",476
How can I reduce the risk of bacterial wilt when using seed from neighbors?,crop_diseases,general,highland,doc_dis_158,Use seed from trusted sources only and avoid reusing seed that shows symptoms; consider saving seed only from healthy plants and rotate crops to break disease buildup.,477
How common is aflatoxin in maize and what are typical levels?,post_harvest,maize,sub_humid,doc_pos_025,"Aflatoxin was found in 32% of maize samples, with an average of 3.4 μg/kg (range 2.1-16.2 μg/kg).",478
Were agricultural input subsidies useful for farmers in poor rural economies in the 1960s and 70s?,fertiliser,general,sub_humid,doc_fer_070,"Yes, they were common and contributed to the success of the green revolutions during that period.",479
What is the main goal of the CGIAR Research Program on Livestock for smallholder farmers?,livestock,livestock,highland,doc_liv_108,"It aims to increase productivity and profitability of livestock systems sustainably, making meat, milk, and eggs more available and affordable.",480
Which insect pests cause the most damage to my crops?,pests,general,sub_humid,doc_pes_019,"According to farmers, borers and scales cause the greatest damage, followed by variegated grasshopper.",481
Which organizations provide support to tree seed dealers and nursery operators?,general,general,highland,doc_gen_190,The government and NGOs give support to tree seed dealers and nursery operators.,482
How can CIMMYT help me feed my goats during drought?,climate_adaptation,livestock,highland,doc_cli_140,CIMMYT supports you in feeding goats and building resilience in highland areas.,483
How much does Striga infestation reduce the grain yield of maize hybrids?,general,maize,sub_humid,doc_gen_193,Striga infestation reduces grain yield by about 44% compared to non-infested conditions.,484
Which maize hybrids are resistant to Fall armyworm and also show resistance to turcicum leaf blight and gray leaf spot?,crop_diseases,maize,highland,doc_dis_164,"The study identifies hybrids that combine resistance to Fall armyworm with resistance to turcicum leaf blight and gray leaf spot, but specific hybrid names are not provided in the excerpt.",485
Which areas in Uganda are most vulnerable to climate-induced conflicts and insecurity?,climate_adaptation,general,semi_arid,doc_cli_141,"The most vulnerable areas are Lakwor, Oryang Lalano, Palwo, and Parumu.",486
Can I identify Dalbergia wood species just by looking at the log?,general,general,highland,doc_gen_195,"No, Dalbergia species cannot be identified from log observations.",487
How can I get better access to irrigation water like the contract farmers?,water_management,livestock,highland,doc_wat_042,"Contract farmers in the surveyed area had better irrigation water access, so you may need to connect with local commercial farms or seek water rights agreements to improve your irrigation access.",488
What can I do to control leaf diseases on my farm?,crop_diseases,general,sub_humid,doc_dis_169,"Have a phytosanitary inspection, apply recommended control measures, and consider resuming a clone trial for improved disease resistance.",489
Which cereal crop is most commonly grown in Southern Africa?,general,general,semi_arid,doc_gen_199,Maize (Zea mays L.) is the dominant cereal crop in the region.,490
What treatments were used in the study with L. leucocephela leaf meal?,livestock,livestock,sub_humid,doc_liv_116,Five treatments (T1 to T5) containing L. leucocephela leaf meal (LLM) were used.,491
How many farmers received better maize varieties based on climate data in the Western highlands?,climate_adaptation,maize,highland,doc_cli_149,"87,872 farmers received more suitable hybrid maize seeds.",492
How can I choose cowpea varieties that will still give good yields even when Striga is present in my field?,soil_health,general,sub_humid,doc_soi_020,"Pick the cowpea varieties that the study found had high yields and stable performance across all three test locations, as these are likely to cope better with Striga infestation.",493
How will the expected 2 °C rise in temperature affect coffee production in Uganda?,crop_diseases,general,sub_humid,doc_dis_173,"It will increase pest and disease incidence in Arabica-growing regions, impacting coffee output.",494
How old are most of the lead farmers who run the farmer-to-farmer extension?,general,general,sub_humid,doc_gen_201,About half of the lead farmers are between 41 and 55 years old.,495
How can I obtain the Iron Folic Acid supplements for my pregnant wife?,general,general,highland,doc_gen_202,She can receive IFA tablets through the antenatal care services at government health facilities where they are distributed and promoted.,496
Which groundnut variety produces high-quality seed in my area?,general,groundnuts,semi_arid,doc_gen_203,"The varieties ICGV86124, Fleur 11, and JL 24 produce high-quality seed.",497
What pest control methods can I use for fall armyworm that avoid harmful synthetic insecticides?,crop_diseases,general,sub_humid,doc_dis_176,"Rely on resident parasitoid species that have adapted to the pest and use biopesticides, both of which are promising alternatives for sustainable FAW management.",498
How common is Salmonella on pig carcasses in this rural area?,general,livestock,sub_humid,doc_gen_204,18.1% of pig carcasses were contaminated with NTS.,499
What are the main reasons that older subsistence farmers in Uganda find it hard to use digital agricultural platforms like EzyAgric?,general,general,sub_humid,doc_gen_205,"They struggle with unfamiliarity, prefer traditional methods, face financial constraints, and often lack digital literacy.",500
How can we improve the quality and sale of our milk in the informal market?,livestock,livestock,sub_humid,doc_liv_119,"Adopt the new institutional approaches and appropriate technologies promoted by ILRI in Uganda, Tanzania and Rwanda to harmonise standards and improve informal milk market practices.",501
How can leaf curling help my maize during drought?,climate_adaptation,maize,sub_humid,doc_cli_152,"Leaf curling can increase a plant's tolerance to water deficit, potentially helping maize better withstand drought conditions.",502
What is the purpose of Kenya's new Bioenergy Strategy?,general,general,highland,doc_gen_206,It will provide a roadmap for Kenya to manage and sustainably harness its bioenergy resources during 2020-2027.,503
"Which pretreatment (peeling, blanching or sodium metabisulphite) makes it easier to dry yam bean flour?",post_harvest,beans,sub_humid,doc_pos_026,"The study compared peeled and unpeeled tubers with blanching and sodium metabisulphite, but it does not state which treatment improves drying ease.",504
"How many workers can a single ASI thresher replace, and how much rice can it process in a day?",climate_adaptation,general,semi_arid,doc_cli_154,"One ASI thresher can replace 6 manual labourers and process up to 6 tons of rice per day, while traditional methods would need 36 workers for the same output.",505
What problems are identified for rural freight transport in Ghana?,general,general,sub_humid,doc_gen_208,The study seeks to identify problems of both urban and rural freight and public transport services.,506
When was the progress of the Kusi agronomy programme reported?,general,general,sub_humid,doc_gen_209,The progress was reported by December 1990.,507
Why should tilapia samples be transported in cool boxes for bacterial testing?,general,general,sub_humid,doc_gen_210,"Cooling keeps fish tissues at low temperature, preserving the bacteria for accurate detection during later laboratory analysis.",508
What is the net profit rate for small-scale certified cocoa producers in the forest zone?,general,general,sub_humid,doc_gen_211,Small-scale certified cocoa producers in the forest zone have an average net profit rate of 24%.,509
How can we accurately measure women's decision-making in our farm programs?,general,general,sub_humid,doc_gen_212,"Small variations in indicator construction can meaningfully change how women are ranked; thus, carefully design and test decision-making indicators to avoid misleading results.",510
How can I help reduce antimicrobial resistance in my livestock?,livestock,livestock,sub_humid,doc_liv_123,"Use antimicrobials only when needed, follow veterinary guidance, and practice good hygiene and biosecurity to limit spread and reduce the risk of food-borne AMR transmission.",511
Which rice varieties can survive flash floods and submergence in Côte d'Ivoire?,general,general,sub_humid,doc_gen_213,FARO-66 9 (Wita-4 + Sub-1) and FARO-67 (NERICA-L19 + Sub-1) planted by the wet-direct method are designed to cope with flooding and submergence.,512
How can I use crop residues for mulch to improve my soil in a conservation agriculture system?,livestock,livestock,semi_arid,doc_liv_124,"The excerpt says that production and use of crop residues as mulch is a central element of successful conservation agriculture in southern Africa. Use the residues from your current crops to cover the soil surface, reducing weed growth and conserving moisture.",513
How many people should I use to fish a pond for the best catch?,livestock,general,sub_humid,doc_liv_125,Use two people holding the net at the edges or three people in the pond to press the net to the bottom for maximum catch.,514
How can I share bean variety information with other farmers in my community?,crop_diseases,general,sub_humid,doc_dis_181,"You can share information through demonstrations, participatory variety selection, exhibitions, Barraza's, sensitizations, trainings, or field days.",515
How does the temperature at which boar semen is stored affect its quality for artificial insemination?,post_harvest,livestock,sub_humid,doc_pos_027,Boar semen is sensitive to both cold shock and hot temperatures; improper storage can damage the membrane due to phospholipid differences. Proper temperature control is essential for maintaining semen quality.,516
Can I use my smartphone to prove crop damage for index insurance claims in Ethiopia?,climate_adaptation,general,highland,doc_cli_157,"Yes, the AzmeraCam app lets farmers upload crop photos to request audits when satellite data fails to trigger a payout.",517
How can national genebanks work with community seed banks to help me grow climate-resilient crops?,climate_adaptation,general,sub_humid,doc_cli_158,"A national genebank can collaborate with community seed banks by following a formal protocol that sets principles, good practices, and areas of collaboration to share and distribute climate-resilient varieties.",518
Where can my livestock get trypanosomiasis?,crop_diseases,livestock,sub_humid,doc_dis_183,"It only occurs in areas that are habitats of Glossina tsetse flies, which are restricted to specific geographic settings.",519
How can I estimate the dry biomass of mature trees in my woodland?,general,general,semi_arid,doc_gen_217,Measure the tree diameter at breast height (DBH) for trees over 2.5 cm and apply allometric equations to estimate dry biomass.,520
What do the atlases produced by CTA cover regarding livestock in the Sahel?,climate_adaptation,livestock,semi_arid,doc_cli_159,They cover the potential for animal husbandry and grazing in the region.,521
What was the purpose of the Enterprise Survey conducted in Kenya?,general,general,highland,doc_gen_218,"To understand what firms experience in the private sector and to improve the business environment for investment, job creation, and sustainable growth.",522
What types of weather forecasts will be given to me as a smallholder farmer in Limpopo?,climate_adaptation,general,semi_arid,doc_cli_160,"Local forecasts of rainfall, runoff, soil moisture and evapotranspiration based on large-scale seasonal rainfall predictions from CSIR.",523
How does the solar-powered milk cooling system help reduce milk loss in my farm?,livestock,livestock,semi_arid,doc_liv_127,"It keeps milk chilled using solar energy, preventing spoilage and thus reducing the amount of milk that is lost before it can be sold.",524
What stand density should I aim for to get the best sorghum yield in this semi-arid zone?,general,sorghum,semi_arid,doc_gen_222,"Plant about 65,000 dwarf long-season sorghum plants per hectare.",525
Which areas do the current national policies focus on to improve food production and market connectivity?,post_harvest,general,sub_humid,doc_pos_030,"The policies mainly emphasize the food production side, the consumer side, and market connectivity.",526
Does inheriting land from my parents really help my income?,general,general,semi_arid,doc_gen_223,"No, male-dominated land bequests give little gain to consumption and explain little inequality.",527
How can I diversify my crops to adapt to climate change?,climate_adaptation,general,semi_arid,doc_cli_162,Add better-adapted crops and/or crop varieties to your existing basket of crops and varieties.,528
"What does the study mean by a ""bundle of ESs"" and how is it used?",general,general,highland,doc_gen_226,The study uses a bundle of ecosystem services as a proxy to assess trends in the socio-ecological resilience (SER) of three Nile basin districts in Ethiopia.,529
How does the distance to gums and resins forests affect my income from these resources?,general,general,highland,doc_gen_229,Greater distance to the forest reduces the income you earn from gums and resins.,530
How will the new maize cultivars help my small livestock farm?,livestock,general,"highland, semi_arid",doc_liv_129,"They will be bred to meet both food and fodder needs, improving suitability for resource-poor mixed-crop livestock farmers like you.",531
How much did fertilizer prices increase in Kenya during the 2020-2022 crisis?,fertiliser,general,semi_arid,doc_fer_084,"Retail fertilizer prices rose about 81% on average, with some shops even seeing increases up to 138%.",532
How many local cowpea varieties are known in the studied area?,general,general,semi_arid,doc_gen_233,There are 59 local cowpea varieties with distinct local names.,533
How does NDVI at the 8-leaf stage help in selecting maize hybrids for drought tolerance?,climate_adaptation,maize,sub_humid,doc_cli_165,"NDVI measured at the 8-leaf stage shows significant variation among hybrids, with general combining ability explaining about 53% of that variation, indicating its usefulness for selecting drought-tolerant lines.",534
What are the main climate threats that Ethiopia's farmers are facing?,climate_adaptation,general,semi_arid,doc_cli_166,"Erratic rainfall, prolonged droughts, and frequent floods are becoming more frequent, undermining crop yields and livestock productivity.",535
"Will climate change make it better to grow root and tuber crops in my highland area, and should I change my planting dates or choose different varieties?",climate_adaptation,general,"highland, semi_arid, sub_humid",doc_cli_167,"Climate change will slightly improve the suitability of most root and tuber crops, except potato; adjusting planting dates and selecting appropriate varieties can help maintain or improve suitability.",536
How did the rapid food price inflation in Ethiopia affect the welfare of the poor in cities and large rural towns?,general,general,highland,doc_gen_234,"The paper investigates the welfare impacts of the rapid food price inflation experienced in Ethiopian cities and large rural towns, particularly concerning the poor.",537
How can I use ant populations to help control cocoa mirids in my farm?,pests,general,sub_humid,doc_pes_020,"By observing where ant species and mirid bugs are found on your cocoa trees and encouraging ant presence, you may reduce mirid numbers, though detailed guidance for Africa is still limited.",538
How can my dairy farm benefit from the government giving free milk to primary schools?,livestock,livestock,highland,doc_liv_134,"If the government distributes free milk to primary schools, milk production in Kenya grows phenomenally, so more demand could mean higher sales for local dairy farms.",539
Which sweet potato virus is most common in the surveyed districts?,crop_diseases,general,highland,doc_dis_193,Sweet potato mild mottle virus (SPMMV) is most common at 31.14%.,540
Are there newer maize varieties available from private companies compared to the parastatal Kenya Seed Company?,general,maize,highland,doc_gen_236,"Yes, private domestic and international companies sell varieties that are on average 10 years younger than those offered by the parastatal Kenya Seed Company.",541
How many households in Malawi received remittances in 2016/17?,general,maize,sub_humid,doc_gen_237,About half of Malawian households received remittances in 2016/17.,542
Where can I download the mobile feed formulation app for smallholder chicken production?,livestock,livestock,sub_humid,doc_liv_135,"The app can be downloaded from mobile app stores after it has been translated into local languages in Ethiopia, Tanzania, and Nigeria.",543
